Career,Python,Java,C++,SQL,HTML/CSS,JavaScript,React,Node.js,TensorFlow,Machine Learning,Data Visualization,Cybersecurity,AWS,Azure,Docker,Kubernetes,UI/UX Design,Figma,Problem Solving,Communication
Product Manager,4,5,3,5,5,2,3,3,3,5,4,3,5,2,4,2,4,5,1,4
Blockchain Developer,5,4,1,1,3,3,2,4,4,3,4,4,1,3,5,3,5,1,2,4
Business Analyst,4,2,2,1,2,5,2,4,4,4,4,5,3,1,4,2,4,2,2,4
Cloud Architect,5,2,2,4,2,2,4,4,1,5,5,2,5,2,1,4,4,4,5,1
Software Engineer,1,1,1,4,3,3,1,3,3,1,3,5,2,2,1,4,1,4,2,1
Product Manager,5,3,4,3,3,1,3,5,3,1,5,2,3,1,2,2,4,5,3,1
DevOps Engineer,5,4,5,5,3,5,4,5,3,3,4,2,2,5,1,5,4,4,4,4
DevOps Engineer,3,2,4,1,1,1,1,3,1,4,5,1,3,3,1,5,1,3,2,4
UI/UX Designer,3,1,4,1,1,2,4,4,2,3,1,5,1,1,3,1,2,2,4,5
Software Engineer,1,3,2,5,4,2,4,3,3,1,5,4,2,3,1,1,4,3,5,3
DevOps Engineer,4,3,4,3,2,3,3,4,4,1,1,2,1,3,4,1,1,2,2,3
Product Manager,4,2,1,4,4,1,2,1,4,5,5,3,1,1,3,3,3,4,1,4
Full Stack Developer,1,4,4,3,1,3,1,5,2,2,2,3,5,1,4,1,4,1,5,4
UI/UX Designer,3,1,1,4,3,3,5,3,3,3,2,5,1,4,1,5,4,5,3,4
Machine Learning Engineer,1,1,4,4,5,5,3,4,1,5,5,1,5,3,4,1,4,5,5,1
Machine Learning Engineer,2,1,2,2,3,2,2,3,2,2,2,1,1,1,3,5,2,2,3,2
Business Analyst,5,4,2,1,4,5,4,1,4,3,4,2,2,3,1,2,5,2,2,1
DevOps Engineer,2,3,4,5,1,5,4,4,4,5,4,5,4,3,4,5,2,4,2,3
Software Engineer,3,4,2,2,5,2,5,1,4,5,1,2,2,1,2,1,5,5,1,5
Product Manager,5,5,3,4,2,3,5,1,5,4,5,1,4,5,4,2,2,5,4,1
Cybersecurity Analyst,2,2,5,4,2,4,2,2,3,2,1,5,5,4,2,1,4,3,4,4
Data Scientist,3,4,1,1,5,3,3,5,4,3,1,1,2,3,4,5,5,4,2,5
Machine Learning Engineer,2,3,1,2,5,2,2,2,2,3,1,4,2,5,2,5,3,5,4,1
Cybersecurity Analyst,5,1,4,2,5,1,3,1,3,4,2,1,5,4,1,5,1,3,1,1
Software Engineer,4,1,5,3,3,1,4,4,5,1,3,4,1,4,4,3,2,5,5,3
Mobile App Developer,1,4,3,5,4,5,1,5,5,2,2,2,5,3,5,3,3,2,4,1
Blockchain Developer,2,4,1,5,5,2,1,2,3,2,2,5,5,5,3,5,1,4,1,1
DevOps Engineer,4,4,3,5,4,3,2,2,3,3,5,5,2,4,2,4,4,5,1,1
Machine Learning Engineer,5,4,1,4,1,1,1,5,2,4,5,5,5,5,5,3,4,5,4,3
Machine Learning Engineer,4,1,2,1,1,1,5,3,1,3,4,2,4,4,5,2,4,4,2,2
Mobile App Developer,2,4,4,5,1,4,3,1,1,1,5,4,5,4,5,5,3,5,2,3
